id,name,type,mana,attack,hp,faction,rarity,setName,description
30049,Rage Reactor,Artifact,1.0,N/A,N/A,Magmar,Rare,Immortal,"Your General gains +1 Attack.<br/>Whenever your General destroys an enemy, summon a Ripper Egg on that space."
20202,Razor Skin,Spell,1.0,N/A,N/A,Magmar,Common,ShimZar,Give all friendly minions +1 Attack. Put a random Battle Pet into your action bar.
421,Rex,Battle Pet,1.0,3.0,1.0,Magmar,Common,ShimZar,<b>Rebirth</b>
20280,Sanctify,Spell,1.0,N/A,N/A,Lyonar,Common,Unearthed,Give a friendly minion +1/+1 and turn its space into <b>Hallowed Ground</b>.
20095,Scion's First Wish,Spell,1.0,N/A,N/A,Vetruvian,Basic,Core,Give a friendly minion +1/+1. Draw a card.
20192,Shadow Waltz,Spell,1.0,N/A,N/A,Songhai,Common,ShimZar,Lower the cost of all minions with <b>Backstab</b> in your action bar by 1 and give them +1/+1.
14,Silverguard Squire,Minion,1.0,1.0,4.0,Lyonar,Common,Core,
26,Slo,Battle Pet,1.0,1.0,4.0,Lyonar,Common,ShimZar,<b>Provoke</b>
510,Snow Chaser,Vespyr,1.0,2.0,1.0,Vanar,Rare,Core,"<b>Infiltrate</b>:  When this minion dies, return it to your action bar."
20201,Sphere of Darkness,Spell,1.0,N/A,N/A,Abyssian,Common,ShimZar,Turn a space into <b>Shadow Creep</b>. Draw a card.
20294,Spiral Counter,Spell,1.0,N/A,N/A,Songhai,Common,Unearthed,Deal 8 damage to an enemy minion that attacked last turn.
20246,Stone to Spears,Spell,1.0,N/A,N/A,Vetruvian,Rare,Ancients,A friendly Obelysk gains +3 Attack and may move and attack this turn if able.
20043,Sundrop Elixir,Spell,1.0,N/A,N/A,Lyonar,Common,Core,Restore 5 Health to anything.
38,Sunrise Cleric,Minion,1.0,1.0,3.0,Lyonar,Common,Unearthed,<b>Opening Gambit</b>: Turn a nearby space into <b>Hallowed Ground</b>.
19025,Swamp Entangler,Minion,1.0,0.0,3.0,Neutral,Common,Core,<b>Provoke</b>
20066,True Strike,Spell,1.0,N/A,N/A,Lyonar,Basic,Core,Deal 2 damage to a minion.
20209,Vespyric Call,Spell,1.0,N/A,N/A,Vanar,Epic,ShimZar,Put a random Vespyr minion into your action bar. It costs 1 less and has +1/+1.
20052,Void Pulse,Spell,1.0,N/A,N/A,Abyssian,Common,Core,Deal 2 damage to enemy General. Restore 3 Health to your General.
20375,Wanderlust,Spell,1.0,N/A,N/A,Vanar,Common,Mythron,<b>Intensify</b>: Teleport 1 random enemy minion to a space on your starting side of the battlefield.
11083,Zyx,Minion,1.0,1.0,2.0,Neutral,Rare,Core,<b>Opening Gambit</b>: Summon a copy of this minion on a random nearby space.
10993,Aethermaster,Arcanyst,2.0,1.0,3.0,Neutral,Epic,Core,You may replace an additional card each turn.
11001,Amu,Battle Pet,2.0,3.0,3.0,Neutral,Common,ShimZar,
451,Angered Okkadok,Minion,2.0,1.0,2.0,Magmar,Common,Mythron,<b>Intensify</b>: This minion gains +1/+1.
20226,Aphotic Drain,Spell,2.0,N/A,N/A,Abyssian,Common,Ancients,Destroy a friendly minion to restore 5 Health to your General.
11017,Araki Headhunter,Minion,2.0,1.0,3.0,Neutral,Epic,Core,"Whenever you summon a minion with Opening Gambit from your action bar, gain +2 Attack."
11152,Araras Prophet,Arcanyst,2.0,1.0,3.0,Neutral,Rare,Mythron,"Whenever you replace a card, shuffle a Brilliant Plume into your deck."
20106,Artifact Defiler,Spell,2.0,N/A,N/A,Songhai,Common,Core,Destroy all artifacts on the enemy General.
20214,Aspect of Shim'Zar,Spell,2.0,N/A,N/A,Vanar,Common,ShimZar,Transform ANY minion into a random Battle Pet.
20324,Aspect of the Bear,Spell,2.0,N/A,N/A,Vanar,Common,Immortal,Transform ANY minion into a 4/5 Ursaplomb that will not counterattack.
20144,Aspect of the Ravager,Spell,2.0,N/A,N/A,Vanar,Basic,Core,Transform ANY minion into a 3/3 Ravager with no abilities.
11084,Azure Herald,Minion,2.0,1.0,4.0,Neutral,Common,Core,<b>Opening Gambit</b>: Restore 3 Health to your General.
19050,Azure Horn Shaman,Minion,2.0,1.0,4.0,Neutral,Rare,Core,<b>Dying Wish</b>: Give +4 Health to friendly minions around it.
21,Azurite Lion,Minion,2.0,2.0,3.0,Lyonar,Common,Core,<b>Celerity</b>
444,Biomimetic Hulk,Minion,2.0,10.0,10.0,Magmar,Common,Immortal,<b>Build</b>: (3).
313,Blood Siren,Minion,2.0,3.0,2.0,Abyssian,Common,Core,<b>Opening Gambit</b>: Give a nearby enemy -2 attack this turn.
30010,Bloodrage Mask,Artifact,2.0,N/A,N/A,Songhai,Basic,Core,"Whenever you cast a spell, deal 1 damage to the enemy General."
19029,Bluetip Scorpion,Minion,2.0,3.0,1.0,Neutral,Common,Core,Deals double damage to minions.
20315,Bolster,Spell,2.0,N/A,N/A,Lyonar,Common,Mythron,<b>Intensify</b>: Give friendly minions +2 Health.
20151,Bone Swarm,Spell,2.0,N/A,N/A,Vetruvian,Common,Core,Deal 2 damage to the enemy General and all enemy minions around them.
20149,Bonechill Barrier,Spell,2.0,N/A,N/A,Vanar,Common,Core,Summon three joined 0/2 Vespyr Walls.  Minions that attack these walls are <b>Stunned</b>.
512,Borean Bear,Vespyr,2.0,1.0,3.0,Vanar,Common,Core,"Whenever you summon a Vespyr minion, this minion gains +1 Attack."
20137,Boundless Courage,Spell,2.0,N/A,N/A,Vanar,Epic,Core,Give a friendly minion +2 Attack. It takes no damage this turn.
531,Bur,Battle Pet,2.0,3.0,3.0,Vanar,Rare,ShimZar,"When this minion survives damage, transform it into a different Battle Pet."
11102,Carcynus,Minion,2.0,1.0,5.0,Neutral,Common,Unearthed,
359,Carrion Collector,Minion,2.0,1.0,1.0,Abyssian,Epic,Mythron,<b>Dying Wish</b>: Lower the cost of all minions with <b>Dying Wish</b> in your deck and action bar by 1.
20258,Cascading Rebirth,Spell,2.0,N/A,N/A,Magmar,Common,Ancients,Destroy a friendly minion to summon a random Magmar minion that costs 1 more.
11098,Celebrant,Golem,2.0,1.0,4.0,Neutral,Rare,Ancients,<b>Opening Gambit</b>: Create a mana spring tile nearby.
115,Chakri Avatar,Arcanyst,2.0,1.0,2.0,Songhai,Basic,Core,"Whenever you cast a spell, this minion gains +1/+1"
20281,Channeled Breath,Spell,2.0,N/A,N/A,Lyonar,Common,Unearthed,Restore 2 Health to your General for each friendly minion.
20271,Choking Tendrils,Spell,2.0,N/A,N/A,Abyssian,Common,Unearthed,Destroy an enemy minion on friendly <b>Shadow Creep</b>.
20134,Chromatic Cold,Spell,2.0,N/A,N/A,Vanar,Basic,Core,"Dispel a space. If there is an enemy on that space, deal it 1 damage."
540,Circulus,Arcanyst,2.0,1.0,1.0,Vanar,Epic,Ancients,"Whenever you cast a spell, add a 2/1 Illusion to your action bar."
30016,Coldbiter,Artifact,2.0,N/A,N/A,Vanar,Legendary,Core,"At the end of your turn, your General deals 2 damage to each enemy minion around them."
20228,Concealing Shroud,Spell,2.0,N/A,N/A,Vanar,Rare,Ancients,Your General takes no damage until your next turn.
20166,Consuming Rebirth,Spell,2.0,N/A,N/A,Abyssian,Epic,Core,"Destroy a friendly minion. At the end of your turn, re-summon it on the same space and give it +1/+1."
20074,Cosmic Flesh,Spell,2.0,N/A,N/A,Vetruvian,Basic,Core,Give a friendly minion +1/+3 and <b>Provoke</b>.
20191,Crimson Coil,Spell,2.0,N/A,N/A,Songhai,Common,ShimZar,Deal 2 damage to a minion. Activate your Battle Pets.
555,Cryoblade,Minion,2.0,2.0,3.0,Vanar,Common,Immortal,Deals double damage to <b>Stunned</b> enemies.
11088,Cryptographer,Minion,2.0,2.0,2.0,Neutral,Common,Ancients,<b>Opening Gambit</b>: Refresh your Bloodbound Spell.
550,Crystal Arbiter,Vespyr,2.0,1.0,4.0,Vanar,Common,Unearthed,This minion has +3 Attack on your opponent's turn.
505,Crystal Cloaker,Vespyr,2.0,2.0,3.0,Vanar,Basic,Core,<b>Infiltrate</b>: Gain +2 Attack.
506,Crystal Wisp,Minion,2.0,1.0,1.0,Vanar,Common,Core,<b>Dying Wish</b>: Permanently gain 1 mana crystal.
20049,Daemonic Lure,Spell,2.0,N/A,N/A,Abyssian,Basic,Core,Deal 1 damage to an enemy minion and teleport it anywhere.
316,Darkspine Elemental,Minion,2.0,1.0,4.0,Abyssian,Rare,Core,Double the damage dealt by friendly <b>Shadow Creep</b>.
20332,Dauntless Advance,Spell,2.0,N/A,N/A,Lyonar,Common,Immortal,"Your General and nearby friendly minions gain, ""Takes no damage this turn."""
20333,Deathmark,Spell,2.0,N/A,N/A,Abyssian,Rare,Immortal,"Deal 1 damage to an enemy minion. After it is attacked this turn, destroy it."
20094,Deathstrike Seal,Spell,2.0,N/A,N/A,Songhai,Rare,Core,"Give a friendly minion, ""Destroy any minion damaged by this minion."""
20369,Deep Impact,Spell,2.0,N/A,N/A,Magmar,Rare,Mythron,Deal damage to a minion to reduce its Health to 1.
20113,Diretide Frenzy,Spell,2.0,N/A,N/A,Magmar,Common,Core,Give a friendly minion +1 Attack and <b>Frenzy</b>.
238,Dreamshaper,Golem,2.0,2.0,2.0,Vetruvian,Common,Ancients,<b>Bond</b>: Draw two cards.
211,Dunecaster,Dervish,2.0,2.0,1.0,Vetruvian,Common,Core,"<b>Opening Gambit</b>: Give +2/+2 to a friendly Dervish. If it is a Wind Dervish, it no longer disappears."
241,Duskweaver,Dervish,2.0,1.0,1.0,Vetruvian,Common,Unearthed,<b>Dying Wish</b>: Put a random Scion's Wish spell into your action bar.
258,Dustdrinker,Dervish,2.0,2.0,1.0,Vetruvian,Common,Mythron,<b>Intensify</b>: Deal 1 damage to the enemy General and this minion gains +1 Health.
20204,Echoing Shriek,Spell,2.0,N/A,N/A,Abyssian,Epic,ShimZar,Transform ALL minions that cost 2 or less into 1/1 Wraithlings.
20143,Eight Gates,Spell,2.0,N/A,N/A,Songhai,Legendary,Core,Spells you cast this turn that deal damage deal +2 damage.
20312,Embryotic Insight,Spell,2.0,N/A,N/A,Magmar,Common,Immortal,"If you have an Egg, draw 2 cards."
20225,Entropic Gaze,Spell,2.0,N/A,N/A,Magmar,Common,Ancients,Deal 2 damage to the enemy General. Both players draw a card.
10020,Ephemeral Shroud,Minion,2.0,1.0,1.0,Neutral,Basic,Core,<b>Opening Gambit</b>: Dispel 1 nearby space.
20336,Equality Constraint,Spell,2.0,N/A,N/A,Vetruvian,Common,Immortal,ANY minion's Health becomes equal to its Attack.
20231,Ethereal Blades,Spell,2.0,N/A,N/A,Songhai,Common,Ancients,Give a friendly minion AND your General +2 Attack this turn.
214,Ethereal Obelysk,Structure,2.0,0.0,6.0,Vetruvian,Basic,Core,<b>Summon Dervish</b>
25,Fiz,Battle Pet,2.0,3.0,3.0,Lyonar,Rare,ShimZar,<b>Opening Gambit</b>: Restore 2 Health to anything.
19051,Flameblood Warlock,Minion,2.0,3.0,1.0,Neutral,Rare,Core,<b>Opening Gambit</b>: Deal 3 damage to BOTH Generals.
20152,Fountain of Youth,Spell,2.0,N/A,N/A,Vetruvian,Rare,Core,Fully heal all friendly minions.
20237,Frigid Corona,Spell,2.0,N/A,N/A,Vanar,Common,Ancients,<b>Stun</b> an enemy. Draw a card.
20135,Frostfire,Spell,2.0,N/A,N/A,Vanar,Basic,Core,"Give a friendly minion +3 Attack. If it is Vespyr, also give it +3 Health."
11009,Ghost Lynx,Minion,2.0,2.0,1.0,Neutral,Common,Core,<b>Opening Gambit</b>: Teleport a nearby minion to a random space.
363,Gibbet,Minion,2.0,1.0,2.0,Abyssian,Rare,Mythron,"Whenever this attacks an enemy minion, destroy that minion and summon a Gibbet on that space."
317,Gloomchaser,Minion,2.0,2.0,2.0,Abyssian,Basic,Core,<b>Opening Gambit</b>: Summon a 1/1 Wraithling in a random nearby space.
30026,Gold Vitriol,Artifact,2.0,N/A,N/A,Lyonar,Rare,Ancients,"Whenever anything is healed, deal 2 damage to a random enemy."
19038,Golem Metallurgist,Golem,2.0,2.0,3.0,Neutral,Rare,Core,The first Golem you summon each turn costs 1 less.
326,Gor,Battle Pet,2.0,1.0,1.0,Abyssian,Common,ShimZar,<b>Dying Wish</b>: Re-summon this minion in a random corner.
20147,Gravity Well,Spell,2.0,N/A,N/A,Vanar,Legendary,Core,Summon four joined 0/1 Walls with <b>Provoke</b>.
420,Gro,Battle Pet,2.0,2.0,4.0,Magmar,Rare,ShimZar,<b>Grow</b>: +1/+1
20160,Hailstone Prison,Spell,2.0,N/A,N/A,Vanar,Common,Core,Return ANY minion to its action bar.
10981,Healing Mystic,Minion,2.0,2.0,3.0,Neutral,Basic,Core,<b>Opening Gambit</b>: Restore 2 Health to anything.
517,Hearth-Sister,Minion,2.0,3.0,2.0,Vanar,Common,Core,<b>Opening Gambit</b>: Switch positions with ANY other minion.
530,Icy,Battle Pet,2.0,2.0,3.0,Vanar,Common,ShimZar,<b>Opening Gambit</b>: <b>Stun</b> a nearby enemy.
20200,Inkhorn Gaze,Spell,2.0,N/A,N/A,Abyssian,Common,ShimZar,"Deal 2 damage to a minion. If it dies this turn, put a random Battle Pet into your action bar."
20358,Invigoration,Spell,2.0,N/A,N/A,Magmar,Common,Mythron,<b>Intensify</b>: Restore 3 Health to your General.
30013,Iridium Scale,Artifact,2.0,N/A,N/A,Magmar,Epic,Core,Your General gains <b>Frenzy</b>.
30050,Iris Barrier,Artifact,2.0,N/A,N/A,Vetruvian,Rare,Immortal,Your General takes no damage during your turn.
11014,Jaxi,Minion,2.0,1.0,1.0,Neutral,Common,Core,<b>Dying Wish</b>: Summon a 1/1 Ranged Mini-Jax in a random corner.
110,Kaido Assassin,Minion,2.0,2.0,3.0,Songhai,Basic,Core,<b>Backstab</b>: (1).
409,Kujata,Minion,2.0,2.0,2.0,Magmar,Epic,Core,Your minions cost 1 less to summon and take 1 damage when summoned from your action bar.
20046,Lasting Judgement,Spell,2.0,N/A,N/A,Lyonar,Rare,Core,"Give ANY minion +3 Attack, but -3 Health."
243,Lavastorm Obelysk,Structure,2.0,0.0,4.0,Vetruvian,Rare,Unearthed,"<b>Summon Dervish</b><br/>At the start of your turn, deal 6 damage to all enemy minions in this row."
15,Lightchaser,Minion,2.0,3.0,2.0,Lyonar,Common,Core,"Whenever anything is healed, this minion gains +1/+1."
20211,Lightning Blitz,Spell,2.0,N/A,N/A,Vanar,Epic,ShimZar,Give all friendly minions +1/+1 and randomly teleport them to your opponent's starting side of the battlefield.
11124,Lost Artificer,Minion,2.0,2.0,3.0,Neutral,Rare,Immortal,The first artifact you equip each turn costs 1 less.
20190,Lucent Beam,Spell,2.0,N/A,N/A,Lyonar,Common,ShimZar,"Deal 2 damage to an enemy. If anything was healed this turn, deal 4 damage instead."
20199,Lurking Fear,Spell,2.0,N/A,N/A,Abyssian,Epic,ShimZar,Lower the cost of all minions with <b>Dying Wish</b> in your action bar and deck by 1.
10302,Manaforger,Arcanyst,2.0,1.0,3.0,Neutral,Rare,Core,The first non-Bloodbound spell you cast each turn costs 1 less.
20366,Marching Orders,Spell,2.0,N/A,N/A,Lyonar,Rare,Mythron,"Give friendly minions directly in front of and behind your General +2/+2.  If they have <b>Zeal</b>, they cannot be targeted by enemy spells."
20140,Mark of Solitude,Spell,2.0,N/A,N/A,Vanar,Rare,Core,One minion becomes 5/5. It can no longer attack Generals.
